pending_bookings,available_workers,avg_completion_time,day_of_week,actual_demand
107,53,4.24,Thursday,86.17
56,41,5.36,Monday,58.47
97,40,6.24,Sunday,107.9
19,36,1.24,Friday,6.29
111,40,7.26,Thursday,108.37
76,52,7.02,Wednesday,61.29
65,36,4.2,Friday,61.69
25,20,3.74,Thursday,27.0
107,32,2.91,Saturday,110.93
87,17,4.34,Saturday,107.95
91,29,1.31,Saturday,83.63
79,53,6.97,Saturday,90.17
79,36,1.25,Wednesday,49.56
92,54,3.3,Monday,75.86
104,59,7.52,Thursday,93.7
108,40,6.15,Wednesday,91.92
28,35,2.97,Saturday,22.38
7,26,2.77,Sunday,5.0
26,17,1.04,Monday,19.9
57,32,5.87,Sunday,72.92
6,57,1.34,Friday,5.0
92,44,4.73,Sunday,89.88
112,53,7.73,Friday,110.92
34,19,1.77,Friday,30.08
42,7,7.26,Saturday,76.03
6,31,7.94,Friday,21.89
68,6,1.43,Tuesday,59.32
64,12,7.18,Thursday,78.09
25,58,4.61,Thursday,7.37
37,19,7.35,Saturday,63.62
80,12,5.0,Tuesday,79.78
62,19,5.63,Sunday,83.23
26,22,4.81,Wednesday,31.43
112,26,7.05,Sunday,141.04
93,7,6.14,Wednesday,100.17
53,36,4.65,Friday,53.57
95,8,7.08,Monday,127.97
63,55,2.72,Wednesday,34.11
46,4,2.1,Monday,55.3
96,15,2.12,Thursday,90.42
64,45,3.34,Monday,53.5
84,45,2.67,Thursday,63.8
19,50,7.51,Tuesday,18.92
66,13,1.74,Tuesday,54.26
66,53,5.89,Saturday,68.09
51,49,2.32,Saturday,34.91
66,59,7.17,Friday,60.83
55,25,7.73,Wednesday,68.44
112,57,4.26,Friday,94.2
59,18,7.15,Thursday,72.37
120,33,1.04,Friday,100.77
68,13,6.74,Monday,93.64
7,56,2.6,Thursday,5.0
105,18,7.36,Saturday,137.01
55,10,1.01,Tuesday,48.42
11,6,4.89,Saturday,37.61
25,42,6.3,Wednesday,27.88
77,6,2.81,Thursday,77.64
43,58,2.35,Thursday,17.94
22,27,1.59,Monday,10.91
8,5,3.29,Wednesday,19.14
93,34,4.92,Tuesday,81.56
64,5,1.81,Sunday,71.57
18,29,3.64,Thursday,18.07
118,31,1.06,Thursday,93.71
13,34,6.73,Monday,25.55
94,52,1.9,Friday,69.26
57,60,2.98,Tuesday,26.32
6,53,1.13,Saturday,5.0
88,21,4.03,Wednesday,73.77
96,23,6.88,Thursday,100.34
115,7,3.75,Thursday,114.01
64,20,2.26,Saturday,70.61
75,30,6.28,Tuesday,76.41
48,44,6.52,Friday,50.96
12,24,2.22,Thursday,9.06
51,23,6.4,Tuesday,53.42
39,8,7.63,Saturday,76.12
82,3,2.16,Monday,89.18
85,7,6.4,Friday,111.25
40,43,5.96,Wednesday,35.98
54,14,4.32,Thursday,59.29
108,28,1.41,Tuesday,82.65
8,48,1.52,Monday,5.0
6,36,6.97,Wednesday,14.25
10,51,7.93,Sunday,15.2
58,16,5.73,Tuesday,67.1
110,28,4.12,Tuesday,95.46
8,47,5.53,Wednesday,7.4
58,29,5.16,Monday,65.56
97,11,3.69,Sunday,110.82
67,28,1.46,Saturday,62.35
22,59,6.75,Monday,18.9
94,49,3.6,Friday,78.58
48,59,6.73,Thursday,43.44
38,24,2.77,Wednesday,26.73
78,49,1.01,Saturday,57.33
66,58,2.11,Sunday,39.86
104,32,4.28,Wednesday,77.84
18,45,7.61,Wednesday,22.22
99,50,1.72,Monday,76.43
52,19,6.98,Thursday,67.58
19,28,4.69,Friday,23.41
76,38,6.78,Tuesday,68.64
82,3,3.09,Tuesday,78.23
91,10,6.88,Wednesday,98.61
66,51,6.41,Thursday,56.14
44,37,2.61,Sunday,39.24
89,54,1.92,Sunday,70.07
84,17,7.08,Saturday,116.68
113,49,7.74,Monday,119.25
86,58,1.22,Thursday,51.77
115,24,6.12,Thursday,114.33
57,16,7.37,Monday,79.99
28,28,7.0,Sunday,48.73
30,30,7.75,Sunday,53.04
93,25,6.32,Sunday,116.18
64,16,4.1,Wednesday,60.47
113,26,3.18,Thursday,97.76
45,4,3.25,Tuesday,52.52
33,47,6.07,Monday,37.39
19,28,6.22,Sunday,34.49
49,16,2.4,Saturday,55.23
69,58,7.08,Sunday,67.57
93,53,6.0,Sunday,91.95
75,9,4.94,Friday,92.21
13,5,4.3,Wednesday,23.71
92,49,4.8,Monday,81.73
5,25,2.11,Friday,8.67
112,48,2.43,Friday,86.73
12,45,1.64,Saturday,5.0
92,49,2.08,Thursday,62.39
67,47,4.18,Saturday,63.0
15,20,4.71,Thursday,21.24
119,60,1.13,Thursday,78.65
85,40,6.58,Monday,89.3
12,37,3.06,Sunday,5.0
39,53,7.38,Monday,46.8
39,17,7.77,Wednesday,51.77
37,27,2.3,Thursday,29.7
9,57,4.23,Friday,5.0
110,39,1.01,Sunday,96.07
107,30,5.19,Tuesday,100.14
45,12,5.25,Wednesday,49.68
32,41,2.73,Monday,15.19
11,59,4.91,Saturday,5.0
77,19,2.58,Wednesday,64.74
76,41,2.13,Wednesday,47.64
16,24,5.56,Sunday,29.41
38,28,3.28,Wednesday,26.74
37,46,5.13,Wednesday,30.67
52,27,4.03,Tuesday,45.09
27,19,7.89,Saturday,55.39
66,15,2.05,Saturday,72.76
92,22,4.25,Saturday,105.31
41,27,5.76,Thursday,44.0
103,6,3.77,Friday,112.3
48,12,7.82,Saturday,86.18
108,5,6.05,Wednesday,104.65
90,43,5.6,Wednesday,76.36
95,47,6.3,Saturday,106.59
39,20,7.67,Sunday,66.53
69,49,7.35,Saturday,78.88
103,38,6.07,Wednesday,87.46
105,49,6.24,Thursday,95.15
51,24,2.02,Monday,47.96
82,36,1.72,Monday,70.75
7,49,5.0,Saturday,5.0
5,10,1.13,Tuesday,5.0
9,42,4.38,Saturday,8.14
94,51,2.47,Sunday,77.04
18,46,3.42,Saturday,8.52
107,21,6.43,Monday,130.2
31,44,7.59,Wednesday,39.25
13,43,1.51,Saturday,5.0
83,39,4.74,Wednesday,66.19
19,8,7.18,Wednesday,43.34
94,54,1.58,Tuesday,55.14
46,28,6.77,Wednesday,48.42
81,36,3.5,Monday,74.53
55,58,3.25,Thursday,30.73
67,47,7.84,Thursday,67.06
100,8,2.41,Friday,101.28
107,39,5.85,Sunday,113.94
117,59,6.75,Saturday,125.01
56,35,1.29,Sunday,45.54
100,55,5.69,Monday,97.78
8,24,7.66,Wednesday,23.84
98,23,1.87,Thursday,83.95
105,8,7.27,Sunday,142.39
